incident_id,equipment_id,equipment_name,category,date_time,shift,incident_type,description,root_cause,contributing_factors,immediate_action,corrective_action,impact_level,downtime_hours,production_loss_tonnes,reported_by,investigated_by,closure_date,status
INC-RMHP-001-024,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2024-08-07 22:19:08,A (06:00-14:00),Unplanned breakdown,Wagon Tippler (RMHP-001) experienced unplanned stoppage due to hydraulic seal leakage.,Seal/gasket leakage,"Insulation degradation, Misalignment, Control system/software fault",Switched to standby unit,Cleared foreign material and inspected,Negligible,56.0,220.76,A. Verma,G. Chatterjee,2024-08-19,Closed
INC-RMHP-001-015,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2024-12-31 06:32:11,C (22:00-06:00),Unplanned breakdown,Wagon Tippler (RMHP-001) experienced unplanned stoppage due to position sensor drift.,Refractory/lining wear,"Lubrication failure, Control system/software fault, Thermal fatigue",Switched to standby unit,Updated PLC/software parameters,Moderate,34.7,98.98,A. Verma,K. Das,,Under investigation
INC-RMHP-001-011,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2025-01-15 01:27:55,A (06:00-14:00),Unplanned breakdown,Wagon Tippler (RMHP-001) experienced unplanned stoppage due to tipping mechanism jam.,Misalignment,"Cooling system fault, Sensor/instrument drift",Continued operation with reduced load and monitoring,Repaired hydraulic line/cylinder,Minor,113.3,273.66,S. Reddy,A. Verma,2025-02-04,Closed - CAPA implemented
INC-RMHP-001-012,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2025-03-29 17:31:08,B (14:00-22:00),Unplanned breakdown,Wagon Tippler (RMHP-001) experienced unplanned stoppage due to hydraulic pump failure.,Corrosion,Seal/gasket leakage,Switched to standby unit,Recalibrated sensor,Moderate,2.9,6.05,D. Banerjee,D. Banerjee,2025-04-06,Closed - CAPA implemented
INC-RMHP-001-005,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2025-04-27 08:41:07,C (22:00-06:00),Safety incident (minor),Minor safety incident during maintenance/operation of Wagon Tippler (RMHP-001); first-aid case reported.,Material blockage/jam,Bearing wear/failure,Carried out emergency repair,Flushed and repaired cooling circuit,Minor,1.2,1.38,L. Pillai,N. Gupta,,Under investigation
INC-RMHP-001-008,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2025-04-30 19:01:27,A (06:00-14:00),Unplanned breakdown,Wagon Tippler (RMHP-001) experienced unplanned stoppage due to tipping mechanism jam.,Cooling system fault,Corrosion,Continued operation with reduced load and monitoring,Realigned shaft/coupling,Minor,7.0,17.25,R. Sharma,V. Rao,2025-05-19,Closed
INC-RMHP-001-023,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2025-05-22 15:16:56,B (14:00-22:00),Quality deviation event,"Quality deviation traced to Wagon Tippler (RMHP-001) malfunction (position sensor drift), resulting in off-spec product.",Lubrication failure,"Belt/chain wear, Misalignment, Material blockage/jam",Continued operation with reduced load and monitoring,Reset overload relay and checked load,Negligible,5.8,9.97,K. Das,V. Rao,2025-06-05,Closed
INC-RMHP-001-019,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2025-06-19 04:24:10,C (22:00-06:00),Equipment damage,Physical damage to Wagon Tippler (RMHP-001) component due to position sensor drift.,Foreign material ingress,"Electrical fault, Refractory/lining wear, Material blockage/jam",Isolated equipment and informed shift supervisor,Tightened/replaced fasteners,Negligible,77.7,228.24,T. Singh,M. Iqbal,2025-07-14,Closed
INC-RMHP-001-025,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2025-06-19 21:38:26,C (22:00-06:00),Production stoppage,"Production stoppage caused by tipping mechanism jam on Wagon Tippler (RMHP-001), affecting downstream units.",Refractory/lining wear,Sensor/instrument drift,Continued operation with reduced load and monitoring,Realigned shaft/coupling,Moderate,1.0,4.7,P. Nair,J. Mehta,,Under investigation
INC-RMHP-001-006,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2025-07-08 12:55:34,A (06:00-14:00),Production stoppage,"Production stoppage caused by hydraulic seal leakage on Wagon Tippler (RMHP-001), affecting downstream units.",Overload/overcurrent,Sensor/instrument drift,Continued operation with reduced load and monitoring,Cleaned and applied anti-corrosion coating,Major,5.5,16.96,A. Verma,J. Mehta,2025-07-27,Closed
INC-RMHP-001-020,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2025-07-15 02:31:04,C (22:00-06:00),Near-miss,Near-miss event observed near Wagon Tippler (RMHP-001) - potential hydraulic seal leakage identified before failure occurred.,Sensor/instrument drift,Belt/chain wear,Switched to standby unit,Recalibrated sensor,Major,0.7,0.0,T. Singh,N. Gupta,2025-08-03,Closed
INC-RMHP-001-022,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2025-07-17 22:34:40,A (06:00-14:00),Unplanned breakdown,Wagon Tippler (RMHP-001) experienced unplanned stoppage due to hydraulic pump failure.,Foreign material ingress,"Belt/chain wear, Bearing wear/failure",Carried out emergency repair,Inspected and replaced thermal component,Moderate,44.4,82.15,A. Verma,T. Singh,2025-08-04,Closed
INC-RMHP-001-021,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2025-08-04 12:33:35,C (22:00-06:00),Near-miss,Near-miss event observed near Wagon Tippler (RMHP-001) - potential hydraulic pump failure identified before failure occurred.,Misalignment,Loose fastener/connection,Switched to standby unit,Realigned shaft/coupling,Moderate,1.0,0.0,P. Nair,V. Rao,2025-08-27,Closed
INC-RMHP-001-007,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2025-09-12 16:26:35,A (06:00-14:00),Equipment damage,Physical damage to Wagon Tippler (RMHP-001) component due to hydraulic seal leakage.,Bearing wear/failure,Sensor/instrument drift,Continued operation with reduced load and monitoring,Realigned shaft/coupling,Minor,10.9,16.12,D. Banerjee,M. Iqbal,2025-10-10,Closed
INC-RMHP-001-016,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2025-10-20 21:59:32,A (06:00-14:00),Unplanned breakdown,Wagon Tippler (RMHP-001) experienced unplanned stoppage due to tipping mechanism jam.,Insulation degradation,Overload/overcurrent,Stopped operation and applied LOTO,Replaced motor winding/insulation,Negligible,16.5,44.99,T. Singh,J. Mehta,2025-10-24,Closed
INC-RMHP-002-022,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2024-02-18 02:14:54,B (14:00-22:00),Near-miss,Near-miss event observed near Stacker Reclaimer (RMHP-002) - potential bucket wheel bearing failure identified before failure occurred.,Corrosion,"Thermal fatigue, Foreign material ingress",Carried out emergency repair,Recalibrated sensor,Negligible,1.4,0.0,C. Joshi,G. Chatterjee,,Open
INC-RMHP-002-002,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2024-05-10 14:15:15,A (06:00-14:00),Safety incident (minor),Minor safety incident during maintenance/operation of Stacker Reclaimer (RMHP-002); first-aid case reported.,Insulation degradation,Material blockage/jam,Continued operation with reduced load and monitoring,Cleared foreign material and inspected,Minor,3.7,2.22,K. Das,P. Nair,2024-05-26,Closed - CAPA implemented
INC-RMHP-002-011,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2024-06-19 10:14:51,C (22:00-06:00),Unplanned breakdown,Stacker Reclaimer (RMHP-002) experienced unplanned stoppage due to belt misalignment.,Operator error,"Sensor/instrument drift, Insulation degradation, Material blockage/jam",Carried out emergency repair,Realigned shaft/coupling,Minor,30.4,117.34,R. Sharma,P. Nair,2024-06-28,Closed - CAPA implemented
INC-RMHP-002-015,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2024-07-30 17:59:46,C (22:00-06:00),Near-miss,Near-miss event observed near Stacker Reclaimer (RMHP-002) - potential luffing hydraulic leak identified before failure occurred.,Sensor/instrument drift,"Insulation degradation, Operator error, Thermal fatigue",Stopped operation and applied LOTO,Inspected and replaced thermal component,Negligible,0.8,0.0,T. Singh,T. Singh,2024-08-04,Closed - CAPA implemented
INC-RMHP-002-003,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2024-09-29 14:06:40,B (14:00-22:00),Production stoppage,"Production stoppage caused by luffing hydraulic leak on Stacker Reclaimer (RMHP-002), affecting downstream units.",Bearing wear/failure,"Electrical fault, Control system/software fault, Refractory/lining wear",Continued operation with reduced load and monitoring,Replaced belt/chain,Moderate,41.6,130.41,P. Nair,V. Rao,2024-10-11,Closed - CAPA implemented
INC-RMHP-002-021,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2024-10-02 11:47:51,C (22:00-06:00),Unplanned breakdown,Stacker Reclaimer (RMHP-002) experienced unplanned stoppage due to belt misalignment.,Overload/overcurrent,Operator error,Carried out emergency repair,Inspected and replaced thermal component,Negligible,16.0,45.08,N. Gupta,N. Gupta,2024-10-24,Closed - CAPA implemented
INC-RMHP-002-005,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2024-10-03 19:42:05,A (06:00-14:00),Unplanned breakdown,Stacker Reclaimer (RMHP-002) experienced unplanned stoppage due to slew gearbox wear.,Electrical fault,"Material blockage/jam, Bearing wear/failure",Stopped operation and applied LOTO,Tightened/replaced fasteners,Minor,2.6,9.36,N. Gupta,B. Kulkarni,2024-10-19,Closed
INC-RMHP-002-004,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2024-10-10 07:22:48,B (14:00-22:00),Unplanned breakdown,Stacker Reclaimer (RMHP-002) experienced unplanned stoppage due to slew gearbox wear.,Sensor/instrument drift,Loose fastener/connection,Stopped operation and applied LOTO,Replaced bearing,Negligible,3.5,9.36,B. Kulkarni,S. Reddy,2024-10-23,Closed
INC-RMHP-002-018,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2024-12-12 17:57:20,B (14:00-22:00),Unplanned breakdown,Stacker Reclaimer (RMHP-002) experienced unplanned stoppage due to luffing hydraulic leak.,Material blockage/jam,"Insulation degradation, Sensor/instrument drift, Belt/chain wear",Carried out emergency repair,Inspected and replaced thermal component,Minor,5.9,16.28,K. Das,T. Singh,2025-01-06,Closed
INC-RMHP-002-001,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2024-12-16 18:11:31,C (22:00-06:00),Production stoppage,"Production stoppage caused by bucket wheel bearing failure on Stacker Reclaimer (RMHP-002), affecting downstream units.",Foreign material ingress,"Misalignment, Refractory/lining wear, Vibration/imbalance",Isolated equipment and informed shift supervisor,Reset overload relay and checked load,Negligible,17.0,33.58,C. Joshi,C. Joshi,2025-01-09,Closed - CAPA implemented
INC-RMHP-002-008,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-01-27 08:38:17,C (22:00-06:00),Production stoppage,"Production stoppage caused by belt misalignment on Stacker Reclaimer (RMHP-002), affecting downstream units.",Cooling system fault,Vibration/imbalance,Carried out emergency repair,Repaired/replaced refractory section,Minor,20.5,95.59,N. Gupta,N. Gupta,,Under investigation
INC-RMHP-002-006,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-02-07 20:53:06,C (22:00-06:00),Safety incident (minor),Minor safety incident during maintenance/operation of Stacker Reclaimer (RMHP-002); first-aid case reported.,Material blockage/jam,"Seal/gasket leakage, Hydraulic system fault",Switched to standby unit,Repaired/replaced refractory section,Severe,2.2,2.02,V. Rao,N. Gupta,2025-03-08,Closed
INC-RMHP-002-007,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-04-09 07:46:54,B (14:00-22:00),Quality deviation event,"Quality deviation traced to Stacker Reclaimer (RMHP-002) malfunction (bucket wheel bearing failure), resulting in off-spec product.",Refractory/lining wear,"Thermal fatigue, Vibration/imbalance",Switched to standby unit,Replaced belt/chain,Negligible,2.0,4.12,R. Sharma,L. Pillai,2025-04-29,Closed
INC-RMHP-002-017,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-04-21 12:48:27,C (22:00-06:00),Unplanned breakdown,Stacker Reclaimer (RMHP-002) experienced unplanned stoppage due to luffing hydraulic leak.,Vibration/imbalance,Bearing wear/failure,Continued operation with reduced load and monitoring,Repaired hydraulic line/cylinder,Moderate,9.7,33.53,G. Chatterjee,A. Verma,2025-05-05,Closed
INC-RMHP-002-023,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-05-11 02:00:23,A (06:00-14:00),Unplanned breakdown,Stacker Reclaimer (RMHP-002) experienced unplanned stoppage due to slew gearbox wear.,Misalignment,"Hydraulic system fault, Insulation degradation, Seal/gasket leakage",Stopped operation and applied LOTO,Flushed and repaired cooling circuit,Major,65.2,68.97,T. Singh,C. Joshi,2025-05-19,Closed - CAPA implemented
INC-RMHP-002-025,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-06-13 01:44:16,C (22:00-06:00),Environmental excursion,Environmental parameter excursion (emission/effluent) associated with Stacker Reclaimer (RMHP-002) operation.,Bearing wear/failure,Foreign material ingress,Continued operation with reduced load and monitoring,Repaired/replaced refractory section,Minor,1.6,1.1,N. Gupta,A. Verma,2025-06-29,Closed
INC-RMHP-002-024,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-07-22 12:21:09,A (06:00-14:00),Quality deviation event,"Quality deviation traced to Stacker Reclaimer (RMHP-002) malfunction (belt misalignment), resulting in off-spec product.",Insulation degradation,"Loose fastener/connection, Vibration/imbalance, Lubrication failure",Switched to standby unit,Retrained operator on procedure,Negligible,6.2,12.1,M. Iqbal,B. Kulkarni,2025-07-23,Closed
INC-RMHP-002-014,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-07-26 10:50:17,A (06:00-14:00),Unplanned breakdown,Stacker Reclaimer (RMHP-002) experienced unplanned stoppage due to bucket wheel bearing failure.,Insulation degradation,"Control system/software fault, Sensor/instrument drift",Isolated equipment and informed shift supervisor,Replaced belt/chain,Minor,3.5,9.72,D. Banerjee,C. Joshi,2025-08-02,Closed
INC-RMHP-002-010,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-08-01 02:03:20,C (22:00-06:00),Unplanned breakdown,Stacker Reclaimer (RMHP-002) experienced unplanned stoppage due to slew gearbox wear.,Vibration/imbalance,"Lubrication failure, Refractory/lining wear, Belt/chain wear",Switched to standby unit,Balanced rotating component,Minor,15.3,21.74,L. Pillai,D. Banerjee,2025-08-07,Closed - CAPA implemented
INC-RMHP-002-019,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-09-03 04:29:34,B (14:00-22:00),Production stoppage,"Production stoppage caused by slew gearbox wear on Stacker Reclaimer (RMHP-002), affecting downstream units.",Belt/chain wear,"Loose fastener/connection, Material blockage/jam",Switched to standby unit,Cleared blockage and inspected chute,Major,9.2,37.27,K. Das,D. Banerjee,2025-09-10,Closed - CAPA implemented
INC-RMHP-002-016,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-09-24 02:16:18,B (14:00-22:00),Equipment damage,Physical damage to Stacker Reclaimer (RMHP-002) component due to bucket wheel bearing failure.,Corrosion,"Bearing wear/failure, Cooling system fault, Overload/overcurrent",Carried out emergency repair,Replaced bearing,Negligible,9.7,13.32,A. Verma,G. Chatterjee,2025-10-04,Closed
INC-RMHP-002-012,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-10-15 03:27:56,B (14:00-22:00),Unplanned breakdown,Stacker Reclaimer (RMHP-002) experienced unplanned stoppage due to bucket wheel bearing failure.,Misalignment,"Overload/overcurrent, Control system/software fault",Isolated equipment and informed shift supervisor,Retrained operator on procedure,Moderate,35.6,72.59,A. Verma,A. Verma,2025-11-07,Closed - CAPA implemented
INC-RMHP-002-009,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-11-12 21:24:06,A (06:00-14:00),Unplanned breakdown,Stacker Reclaimer (RMHP-002) experienced unplanned stoppage due to luffing hydraulic leak.,Refractory/lining wear,"Seal/gasket leakage, Refractory/lining wear, Lubrication failure",Carried out emergency repair,Repaired electrical connection,Negligible,16.5,32.32,B. Kulkarni,V. Rao,2025-12-04,Closed - CAPA implemented
INC-RMHP-002-013,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-12-17 19:00:00,C (22:00-06:00),Near-miss,Near-miss event observed near Stacker Reclaimer (RMHP-002) - potential slew gearbox wear identified before failure occurred.,Operator error,"Cooling system fault, Hydraulic system fault, Thermal fatigue",Continued operation with reduced load and monitoring,Repaired/replaced refractory section,Minor,0.9,0.0,J. Mehta,N. Gupta,,Under investigation
INC-RMHP-002-020,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,2025-12-25 18:32:42,C (22:00-06:00),Quality deviation event,"Quality deviation traced to Stacker Reclaimer (RMHP-002) malfunction (belt misalignment), resulting in off-spec product.",Operator error,"Corrosion, Vibration/imbalance",Carried out emergency repair,Repaired hydraulic line/cylinder,Moderate,5.1,13.09,P. Nair,L. Pillai,2026-01-04,Closed
INC-RMHP-003-021,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-01-03 01:56:33,B (14:00-22:00),Unplanned breakdown,Conveyor Belt System (RMHP-003) experienced unplanned stoppage due to motor overload.,Corrosion,Foreign material ingress,Continued operation with reduced load and monitoring,Tightened/replaced fasteners,Negligible,53.9,64.61,A. Verma,V. Rao,2024-01-23,Closed - CAPA implemented
INC-RMHP-003-022,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-01-30 22:28:19,B (14:00-22:00),Quality deviation event,"Quality deviation traced to Conveyor Belt System (RMHP-003) malfunction (idler bearing failure), resulting in off-spec product.",Seal/gasket leakage,Seal/gasket leakage,Isolated equipment and informed shift supervisor,Balanced rotating component,Moderate,2.5,3.57,N. Gupta,J. Mehta,2024-02-21,Closed
INC-RMHP-003-014,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-02-01 16:09:35,A (06:00-14:00),Unplanned breakdown,Conveyor Belt System (RMHP-003) experienced unplanned stoppage due to motor overload.,Misalignment,"Overload/overcurrent, Seal/gasket leakage, Insulation degradation",Switched to standby unit,Inspected and replaced thermal component,Moderate,2.0,5.85,A. Verma,A. Verma,2024-02-29,Closed
INC-RMHP-003-005,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-02-06 11:33:29,B (14:00-22:00),Unplanned breakdown,Conveyor Belt System (RMHP-003) experienced unplanned stoppage due to pulley misalignment.,Thermal fatigue,"Bearing wear/failure, Seal/gasket leakage, Electrical fault",Carried out emergency repair,Reset overload relay and checked load,Severe,4.7,15.28,K. Das,M. Iqbal,,Open
INC-RMHP-003-007,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-03-18 00:52:06,B (14:00-22:00),Equipment damage,Physical damage to Conveyor Belt System (RMHP-003) component due to belt tear.,Operator error,"Cooling system fault, Refractory/lining wear, Operator error",Carried out emergency repair,Replenished/changed lubricant,Negligible,1.9,2.97,G. Chatterjee,L. Pillai,2024-04-14,Closed
INC-RMHP-003-019,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-04-05 03:00:48,C (22:00-06:00),Unplanned breakdown,Conveyor Belt System (RMHP-003) experienced unplanned stoppage due to motor overload.,Sensor/instrument drift,"Control system/software fault, Refractory/lining wear, Sensor/instrument drift",Continued operation with reduced load and monitoring,Realigned shaft/coupling,Negligible,20.9,63.55,B. Kulkarni,P. Nair,2024-04-19,Closed - CAPA implemented
INC-RMHP-003-003,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-06-12 01:24:54,B (14:00-22:00),Unplanned breakdown,Conveyor Belt System (RMHP-003) experienced unplanned stoppage due to pulley misalignment.,Foreign material ingress,"Belt/chain wear, Loose fastener/connection, Overload/overcurrent",Stopped operation and applied LOTO,Replenished/changed lubricant,Negligible,8.6,28.88,C. Joshi,A. Verma,2024-06-16,Closed
INC-RMHP-003-017,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-07-30 14:18:20,C (22:00-06:00),Unplanned breakdown,Conveyor Belt System (RMHP-003) experienced unplanned stoppage due to motor overload.,Material blockage/jam,Bearing wear/failure,Isolated equipment and informed shift supervisor,Replaced motor winding/insulation,Moderate,13.8,35.53,T. Singh,C. Joshi,2024-08-02,Closed
INC-RMHP-003-002,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-08-21 06:08:01,C (22:00-06:00),Unplanned breakdown,Conveyor Belt System (RMHP-003) experienced unplanned stoppage due to motor overload.,Belt/chain wear,"Belt/chain wear, Refractory/lining wear",Stopped operation and applied LOTO,Replenished/changed lubricant,Moderate,1.6,2.66,J. Mehta,C. Joshi,2024-08-27,Closed - CAPA implemented
INC-RMHP-003-023,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-09-21 01:33:31,B (14:00-22:00),Equipment damage,Physical damage to Conveyor Belt System (RMHP-003) component due to motor overload.,Refractory/lining wear,"Operator error, Seal/gasket leakage, Material blockage/jam",Carried out emergency repair,Flushed and repaired cooling circuit,Moderate,15.8,43.03,P. Nair,G. Chatterjee,2024-10-06,Closed
INC-RMHP-003-009,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-09-30 06:00:33,B (14:00-22:00),Unplanned breakdown,Conveyor Belt System (RMHP-003) experienced unplanned stoppage due to motor overload.,Lubrication failure,"Overload/overcurrent, Thermal fatigue",Continued operation with reduced load and monitoring,Replaced seal/gasket,Minor,12.2,20.63,J. Mehta,L. Pillai,2024-10-21,Closed
INC-RMHP-003-004,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-10-08 16:24:20,C (22:00-06:00),Unplanned breakdown,Conveyor Belt System (RMHP-003) experienced unplanned stoppage due to pulley misalignment.,Foreign material ingress,"Material blockage/jam, Overload/overcurrent",Continued operation with reduced load and monitoring,Updated PLC/software parameters,Negligible,5.2,14.6,R. Sharma,N. Gupta,,Under investigation
INC-RMHP-003-016,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-10-21 10:46:03,A (06:00-14:00),Near-miss,Near-miss event observed near Conveyor Belt System (RMHP-003) - potential belt slippage identified before failure occurred.,Loose fastener/connection,"Belt/chain wear, Cooling system fault, Control system/software fault",Carried out emergency repair,Repaired electrical connection,Minor,1.2,0.0,R. Sharma,C. Joshi,,Open
INC-RMHP-003-011,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-12-05 01:53:23,A (06:00-14:00),Unplanned breakdown,Conveyor Belt System (RMHP-003) experienced unplanned stoppage due to belt tear.,Vibration/imbalance,"Insulation degradation, Electrical fault",Switched to standby unit,Cleaned and applied anti-corrosion coating,Negligible,15.2,20.01,T. Singh,P. Nair,2024-12-13,Closed
INC-RMHP-003-012,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2024-12-26 21:54:42,C (22:00-06:00),Production stoppage,"Production stoppage caused by pulley misalignment on Conveyor Belt System (RMHP-003), affecting downstream units.",Material blockage/jam,"Insulation degradation, Overload/overcurrent, Vibration/imbalance",Switched to standby unit,Cleared foreign material and inspected,Negligible,36.2,166.93,N. Gupta,L. Pillai,2024-12-30,Closed
INC-RMHP-003-013,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2025-01-24 17:57:13,C (22:00-06:00),Production stoppage,"Production stoppage caused by belt slippage on Conveyor Belt System (RMHP-003), affecting downstream units.",Lubrication failure,"Seal/gasket leakage, Refractory/lining wear",Carried out emergency repair,Replaced seal/gasket,Moderate,6.7,21.23,D. Banerjee,M. Iqbal,,Open
INC-RMHP-003-024,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,2025-03-30 03:53:52,A (06:00-14:00),Unplanned breakdown,Conveyor Belt System (RMHP-003) experienced unplanned stoppage due to idler bearing failure.,Loose fastener/connection,Electrical fault,Stopped operation and applied LOTO,Balanced rotating component,Severe,3.0,10.84,V. Rao,J. Mehta,2025-04-08,Closed
