alert_id,equipment_id,equipment_name,category,timestamp,sensor_name,observed_value,baseline_value,deviation_pct,alert_level,detection_method,probable_cause,recommended_action,acknowledged,acknowledged_by,resolution_status
ALM-RMHP-001-0011,RMHP-001,Wagon Tippler,Raw Material Handling Plant,30-09-2024 21:14,cycle_time_s,140.81,127.5,10.4,Warning,Rule-based threshold (SOP limit),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,N. Gupta,Resolved - false positive
ALM-RMHP-001-0012,RMHP-001,Wagon Tippler,Raw Material Handling Plant,28-10-2024 18:00,tipping_angle_deg,185.11,160.75,15.2,Warning,Rate-of-change detection,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,L. Pillai,Resolved - false positive
ALM-RMHP-001-0013,RMHP-001,Wagon Tippler,Raw Material Handling Plant,03-11-2024 23:13,hydraulic_pressure_bar,75.46,61.8,22.1,Warning,ML anomaly score (Autoencoder reconstruction error),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,B. Kulkarni,Resolved - false positive
ALM-RMHP-001-0014,RMHP-001,Wagon Tippler,Raw Material Handling Plant,10-11-2024 21:46,tipping_angle_deg,192.9,182.13,5.9,Information,Trend deviation from baseline,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,S. Reddy,Closed - informational only
ALM-RMHP-001-0015,RMHP-001,Wagon Tippler,Raw Material Handling Plant,04-12-2024 15:38,motor_current_A,79.79,75.66,5.5,Warning,Statistical threshold (3-sigma),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,K. Das,Resolved - false positive
ALM-RMHP-001-0016,RMHP-001,Wagon Tippler,Raw Material Handling Plant,19-12-2024 23:31,cycle_time_s,156.41,125.23,24.9,Information,ML anomaly score (Autoencoder reconstruction error),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,V. Rao,Closed - informational only
ALM-RMHP-001-0017,RMHP-001,Wagon Tippler,Raw Material Handling Plant,09-03-2025 21:59,tipping_angle_deg,225.41,181.98,23.9,Information,Statistical threshold (3-sigma),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,N. Gupta,Closed - informational only
ALM-RMHP-001-0018,RMHP-001,Wagon Tippler,Raw Material Handling Plant,31-03-2025 09:41,motor_current_A,175.29,141.38,24,Information,Trend deviation from baseline,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,P. Nair,Closed - informational only
ALM-RMHP-001-0019,RMHP-001,Wagon Tippler,Raw Material Handling Plant,18-05-2025 07:26,motor_current_A,202.68,183.23,10.6,Information,Statistical threshold (3-sigma),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,N. Gupta,Closed - informational only
ALM-RMHP-001-0020,RMHP-001,Wagon Tippler,Raw Material Handling Plant,30-05-2025 07:33,cycle_time_s,33.49,27.28,22.8,Information,ML anomaly score (Autoencoder reconstruction error),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,S. Reddy,Closed - informational only
ALM-RMHP-001-0021,RMHP-001,Wagon Tippler,Raw Material Handling Plant,03-07-2025 11:24,motor_current_A,130.31,118.97,9.5,Information,Pattern/frequency analysis (FFT),Tipping mechanism jam,Continue monitoring; log for trend analysis,Yes,L. Pillai,Closed - informational only
ALM-RMHP-001-0022,RMHP-001,Wagon Tippler,Raw Material Handling Plant,08-07-2025 22:45,tipping_angle_deg,60.76,49.13,23.7,Warning,ML anomaly score (Autoencoder reconstruction error),Hydraulic seal leakage,Schedule inspection within next maintenance window,Yes,V. Rao,Resolved - false positive
ALM-RMHP-001-0023,RMHP-001,Wagon Tippler,Raw Material Handling Plant,11-07-2025 06:50,hydraulic_pressure_bar,78.7,58.86,33.7,Warning,Rate-of-change detection,Tipping mechanism jam,Schedule inspection within next maintenance window,Yes,L. Pillai,Resolved - maintenance performed
ALM-RMHP-001-0024,RMHP-001,Wagon Tippler,Raw Material Handling Plant,13-07-2025 16:34,motor_current_A,309.23,140.9,119.5,Critical,Rate-of-change detection,Hydraulic pump failure,Immediate inspection required; consider equipment shutdown,Yes,A. Verma,Resolved - maintenance performed
ALM-RMHP-001-0025,RMHP-001,Wagon Tippler,Raw Material Handling Plant,14-07-2025 05:42,motor_current_A,303.26,197.65,53.4,Critical,Rule-based threshold (SOP limit),Position sensor drift,Immediate inspection required; consider equipment shutdown,Yes,C. Joshi,Resolved - false positive
ALM-RMHP-001-0026,RMHP-001,Wagon Tippler,Raw Material Handling Plant,01-08-2025 18:59,motor_current_A,48.1,41.92,14.7,Information,Trend deviation from baseline,Hydraulic seal leakage,Continue monitoring; log for trend analysis,Yes,K. Das,Closed - informational only
ALM-RMHP-001-0027,RMHP-001,Wagon Tippler,Raw Material Handling Plant,06-08-2025 10:34,cycle_time_s,220.53,158.55,39.1,Warning,ML anomaly score (Isolation Forest),Hydraulic pump failure,Schedule inspection within next maintenance window,Yes,T. Singh,Escalated to maintenance
ALM-RMHP-001-0028,RMHP-001,Wagon Tippler,Raw Material Handling Plant,09-08-2025 08:53,cycle_time_s,108.92,79.79,36.5,Warning,Rule-based threshold (SOP limit),Hydraulic pump failure,Schedule inspection within next maintenance window,No,,Resolved - maintenance performed
ALM-RMHP-001-0029,RMHP-001,Wagon Tippler,Raw Material Handling Plant,12-08-2025 17:40,tipping_angle_deg,132.19,80.7,63.8,Critical,ML anomaly score (Autoencoder reconstruction error),Position sensor drift,Immediate inspection required; consider equipment shutdown,Yes,V. Rao,Resolved - maintenance performed
ALM-RMHP-001-0030,RMHP-001,Wagon Tippler,Raw Material Handling Plant,14-08-2025 16:35,tipping_angle_deg,187.63,164.37,14.1,Information,ML anomaly score (Isolation Forest),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,M. Iqbal,Closed - informational only
ALM-RMHP-001-0031,RMHP-001,Wagon Tippler,Raw Material Handling Plant,10-09-2025 16:12,vibration_mm_s,102.61,94.17,9,Information,Rate-of-change detection,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,T. Singh,Closed - informational only
ALM-RMHP-001-0032,RMHP-001,Wagon Tippler,Raw Material Handling Plant,22-10-2025 23:31,motor_current_A,137.81,130.88,5.3,Warning,Statistical threshold (3-sigma),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,R. Sharma,Resolved - false positive
ALM-RMHP-001-0033,RMHP-001,Wagon Tippler,Raw Material Handling Plant,07-11-2025 03:57,hydraulic_pressure_bar,39.18,35.9,9.1,Information,Rate-of-change detection,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,R. Sharma,Closed - informational only
ALM-RMHP-001-0034,RMHP-001,Wagon Tippler,Raw Material Handling Plant,17-11-2025 17:52,tipping_angle_deg,120.16,104.37,15.1,Information,ML anomaly score (Isolation Forest),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,C. Joshi,Closed - informational only
ALM-RMHP-002-0001,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,08-02-2024 16:37,bucket_wheel_speed_rpm,39.74,32.31,23,Information,Trend deviation from baseline,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,S. Reddy,Closed - informational only
ALM-RMHP-002-0002,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,21-02-2024 08:59,vibration_mm_s,161.85,131.99,22.6,Information,ML anomaly score (Isolation Forest),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,K. Das,Closed - informational only
ALM-RMHP-002-0003,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,24-02-2024 18:24,bucket_wheel_speed_rpm,149.39,121.59,22.9,Information,Statistical threshold (3-sigma),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,M. Iqbal,Closed - informational only
ALM-RMHP-002-0004,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,04-03-2024 18:36,luffing_angle_deg,149.8,141.98,5.5,Warning,Trend deviation from baseline,Minor process variation / transient condition,Continue monitoring; no immediate action required,No,,Resolved - false positive
ALM-RMHP-002-0005,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,13-03-2024 17:58,vibration_mm_s,116.02,108.42,7,Information,Statistical threshold (3-sigma),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,J. Mehta,Closed - informational only
ALM-RMHP-002-0006,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,27-07-2024 23:41,vibration_mm_s,216.86,184.35,17.6,Information,Statistical threshold (3-sigma),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,T. Singh,Closed - informational only
ALM-RMHP-002-0007,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,07-08-2024 14:00,luffing_angle_deg,64.5,55.29,16.7,Warning,ML anomaly score (Isolation Forest),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,B. Kulkarni,Resolved - false positive
ALM-RMHP-002-0008,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,30-11-2024 21:14,bucket_wheel_speed_rpm,149.78,131.67,13.8,Information,ML anomaly score (Autoencoder reconstruction error),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,C. Joshi,Closed - informational only
ALM-RMHP-002-0009,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,05-12-2024 19:27,vibration_mm_s,176.4,165.79,6.4,Information,Trend deviation from baseline,Minor process variation / transient condition,Continue monitoring; no immediate action required,No,,Closed - informational only
ALM-RMHP-002-0010,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,16-12-2024 04:11,motor_temp_C,227.78,183.31,24.3,Warning,ML anomaly score (Autoencoder reconstruction error),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,C. Joshi,Resolved - false positive
ALM-RMHP-002-0011,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,03-01-2025 03:33,vibration_mm_s,204.43,170.56,19.9,Information,Rate-of-change detection,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,M. Iqbal,Closed - informational only
ALM-RMHP-002-0012,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,13-02-2025 15:38,luffing_angle_deg,163.13,146.2,11.6,Information,Rate-of-change detection,Bucket wheel bearing failure,Continue monitoring; log for trend analysis,Yes,B. Kulkarni,Closed - informational only
ALM-RMHP-002-0013,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,18-02-2025 20:14,motor_temp_C,181.56,151.65,19.7,Warning,Rate-of-change detection,Bucket wheel bearing failure,Schedule inspection within next maintenance window,Yes,A. Verma,Open - pending inspection
ALM-RMHP-002-0014,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,21-02-2025 01:50,bucket_wheel_speed_rpm,162.46,119.98,35.4,Warning,ML anomaly score (Autoencoder reconstruction error),Bucket wheel bearing failure,Schedule inspection within next maintenance window,Yes,N. Gupta,Resolved - false positive
ALM-RMHP-002-0015,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,23-02-2025 18:58,boom_slew_torque_Nm,241.21,155.7,54.9,Critical,Rate-of-change detection,Belt misalignment,Immediate inspection required; consider equipment shutdown,Yes,B. Kulkarni,Open - pending inspection
ALM-RMHP-002-0016,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,24-02-2025 07:35,bucket_wheel_speed_rpm,38.3,26.63,43.8,Critical,Pattern/frequency analysis (FFT),Slew gearbox wear,Immediate inspection required; consider equipment shutdown,Yes,S. Reddy,Resolved - maintenance performed
ALM-RMHP-002-0017,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,29-03-2025 06:42,bucket_wheel_speed_rpm,169.66,140.57,20.7,Information,ML anomaly score (Isolation Forest),Minor process variation / transient condition,Continue monitoring; no immediate action required,No,,Closed - informational only
ALM-RMHP-002-0018,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,15-05-2025 01:23,bucket_wheel_speed_rpm,78.68,73.11,7.6,Information,Pattern/frequency analysis (FFT),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,D. Banerjee,Closed - informational only
ALM-RMHP-002-0019,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,21-07-2025 06:58,boom_slew_torque_Nm,39.04,34.71,12.5,Information,Rate-of-change detection,Luffing hydraulic leak,Continue monitoring; log for trend analysis,Yes,C. Joshi,Closed - informational only
ALM-RMHP-002-0020,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,26-07-2025 17:29,motor_temp_C,233.7,197.07,18.6,Warning,Pattern/frequency analysis (FFT),Luffing hydraulic leak,Schedule inspection within next maintenance window,Yes,A. Verma,Resolved - maintenance performed
ALM-RMHP-002-0021,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,29-07-2025 04:59,bucket_wheel_speed_rpm,92.05,70.05,31.4,Warning,ML anomaly score (Isolation Forest),Bucket wheel bearing failure,Schedule inspection within next maintenance window,Yes,V. Rao,Resolved - false positive
ALM-RMHP-002-0022,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,31-07-2025 00:30,motor_temp_C,71.37,35.65,100.2,Critical,Statistical threshold (3-sigma),Bucket wheel bearing failure,Immediate inspection required; consider equipment shutdown,Yes,M. Iqbal,Resolved - maintenance performed
ALM-RMHP-002-0023,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,01-08-2025 22:26,motor_temp_C,271.19,126.65,114.1,Critical,ML anomaly score (Autoencoder reconstruction error),Luffing hydraulic leak,Immediate inspection required; consider equipment shutdown,No,,Resolved - maintenance performed
ALM-RMHP-002-0024,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,21-08-2025 05:44,bucket_wheel_speed_rpm,213.1,185.47,14.9,Information,Statistical threshold (3-sigma),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,P. Nair,Closed - informational only
ALM-RMHP-002-0025,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,12-09-2025 15:36,bucket_wheel_speed_rpm,197.53,177.97,11,Information,ML anomaly score (Isolation Forest),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,N. Gupta,Closed - informational only
ALM-RMHP-002-0026,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,19-09-2025 11:38,bucket_wheel_speed_rpm,51.03,42.39,20.4,Warning,Pattern/frequency analysis (FFT),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,P. Nair,Resolved - false positive
ALM-RMHP-002-0027,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,27-09-2025 02:17,luffing_angle_deg,77.2,70.39,9.7,Information,Rate-of-change detection,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,C. Joshi,Closed - informational only
ALM-RMHP-002-0028,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,01-10-2025 03:24,luffing_angle_deg,114.79,99.23,15.7,Information,Statistical threshold (3-sigma),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,A. Verma,Closed - informational only
ALM-RMHP-002-0029,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,07-10-2025 15:39,boom_slew_torque_Nm,95.86,80.26,19.4,Information,Pattern/frequency analysis (FFT),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,S. Reddy,Closed - informational only
ALM-RMHP-002-0030,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,19-10-2025 17:26,motor_temp_C,181.44,156.02,16.3,Warning,Statistical threshold (3-sigma),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,A. Verma,Resolved - false positive
ALM-RMHP-002-0031,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,25-10-2025 02:28,vibration_mm_s,79.89,63.99,24.8,Warning,ML anomaly score (Autoencoder reconstruction error),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,J. Mehta,Resolved - false positive
ALM-RMHP-002-0032,RMHP-002,Stacker Reclaimer,Raw Material Handling Plant,26-10-2025 01:00,vibration_mm_s,147.41,125.81,17.2,Information,Rate-of-change detection,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,G. Chatterjee,Closed - informational only
ALM-RMHP-003-0001,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,04-01-2024 18:42,motor_current_A,160.56,145.36,10.5,Information,ML anomaly score (Isolation Forest),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,M. Iqbal,Closed - informational only
ALM-RMHP-003-0002,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,25-02-2024 02:54,belt_speed_m_s,125.66,101.08,24.3,Information,Statistical threshold (3-sigma),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,P. Nair,Closed - informational only
ALM-RMHP-003-0003,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,19-03-2024 19:22,motor_current_A,92.92,85.65,8.5,Information,Pattern/frequency analysis (FFT),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,V. Rao,Closed - informational only
ALM-RMHP-003-0004,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,02-05-2024 00:38,belt_speed_m_s,231.81,187.31,23.8,Warning,ML anomaly score (Autoencoder reconstruction error),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,T. Singh,Resolved - false positive
ALM-RMHP-003-0005,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,16-05-2024 21:11,belt_tension_kN,110.53,97.95,12.8,Information,Rule-based threshold (SOP limit),Minor process variation / transient condition,Continue monitoring; no immediate action required,No,,Closed - informational only
ALM-RMHP-003-0006,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,23-05-2024 02:43,vibration_mm_s,42.24,38.84,8.7,Information,Rate-of-change detection,Belt tear,Continue monitoring; log for trend analysis,Yes,S. Reddy,Closed - informational only
ALM-RMHP-003-0007,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,27-05-2024 05:32,motor_current_A,165,138.13,19.5,Warning,Rate-of-change detection,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,A. Verma,Resolved - false positive
ALM-RMHP-003-0008,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,28-05-2024 01:04,temperature_bearing_C,176.44,149.6,17.9,Warning,ML anomaly score (Isolation Forest),Belt slippage,Schedule inspection within next maintenance window,Yes,L. Pillai,Escalated to maintenance
ALM-RMHP-003-0009,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,31-05-2024 03:04,temperature_bearing_C,251.15,192.78,30.3,Warning,Rule-based threshold (SOP limit),Pulley misalignment,Schedule inspection within next maintenance window,Yes,A. Verma,Resolved - maintenance performed
ALM-RMHP-003-0010,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,02-06-2024 04:03,belt_tension_kN,175.51,112.19,56.4,Critical,Trend deviation from baseline,Pulley misalignment,Immediate inspection required; consider equipment shutdown,Yes,K. Das,Resolved - false positive
ALM-RMHP-003-0011,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,03-06-2024 09:26,temperature_bearing_C,404.77,191.2,111.7,Critical,Trend deviation from baseline,Belt tear,Immediate inspection required; consider equipment shutdown,Yes,S. Reddy,Resolved - maintenance performed
ALM-RMHP-003-0012,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,10-07-2024 12:23,belt_tension_kN,61.67,56.46,9.2,Information,Rule-based threshold (SOP limit),Idler bearing failure,Continue monitoring; log for trend analysis,Yes,L. Pillai,Closed - informational only
ALM-RMHP-003-0013,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,15-07-2024 19:33,temperature_bearing_C,220.27,186.58,18.1,Warning,Rule-based threshold (SOP limit),Idler bearing failure,Schedule inspection within next maintenance window,Yes,M. Iqbal,Resolved - maintenance performed
ALM-RMHP-003-0014,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,18-07-2024 09:23,temperature_bearing_C,235.74,178.33,32.2,Warning,Statistical threshold (3-sigma),Belt tear,Schedule inspection within next maintenance window,No,,Resolved - maintenance performed
ALM-RMHP-003-0015,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,20-07-2024 11:09,belt_speed_m_s,166.36,107.1,55.3,Critical,Statistical threshold (3-sigma),Belt tear,Immediate inspection required; consider equipment shutdown,No,,Resolved - maintenance performed
ALM-RMHP-003-0016,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,14-08-2024 05:59,belt_tension_kN,54.49,44.89,21.4,Information,Rule-based threshold (SOP limit),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,P. Nair,Closed - informational only
ALM-RMHP-003-0017,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,28-08-2024 14:36,belt_speed_m_s,60.71,53.36,13.8,Information,ML anomaly score (Isolation Forest),Belt slippage,Continue monitoring; log for trend analysis,Yes,R. Sharma,Closed - informational only
ALM-RMHP-003-0018,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,02-09-2024 00:29,belt_speed_m_s,137.8,114.09,20.8,Warning,ML anomaly score (Isolation Forest),Idler bearing failure,Schedule inspection within next maintenance window,Yes,V. Rao,Resolved - maintenance performed
ALM-RMHP-003-0019,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,05-09-2024 07:23,belt_tension_kN,98.49,81.87,20.3,Warning,ML anomaly score (Isolation Forest),Belt tear,Schedule inspection within next maintenance window,Yes,T. Singh,Resolved - maintenance performed
ALM-RMHP-003-0020,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,07-09-2024 00:23,belt_tension_kN,254.49,154.74,64.5,Critical,Pattern/frequency analysis (FFT),Belt tear,Immediate inspection required; consider equipment shutdown,Yes,R. Sharma,Resolved - maintenance performed
ALM-RMHP-003-0021,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,08-09-2024 19:59,motor_current_A,59.88,30.73,94.8,Critical,ML anomaly score (Autoencoder reconstruction error),Motor overload,Immediate inspection required; consider equipment shutdown,Yes,V. Rao,Open - pending inspection
ALM-RMHP-003-0022,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,29-09-2024 01:27,belt_speed_m_s,116.52,97.73,19.2,Information,Rule-based threshold (SOP limit),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,R. Sharma,Closed - informational only
ALM-RMHP-003-0023,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,04-10-2024 00:32,motor_current_A,74.82,66.81,12,Information,ML anomaly score (Isolation Forest),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,V. Rao,Closed - informational only
ALM-RMHP-003-0024,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,19-11-2024 16:15,belt_tension_kN,84.58,72.9,16,Warning,ML anomaly score (Autoencoder reconstruction error),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,R. Sharma,Resolved - false positive
ALM-RMHP-003-0025,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,05-01-2025 22:34,temperature_bearing_C,32.56,27.58,18.1,Information,Statistical threshold (3-sigma),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,D. Banerjee,Closed - informational only
ALM-RMHP-003-0026,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,26-02-2025 17:26,belt_tension_kN,105.62,86.54,22,Warning,Pattern/frequency analysis (FFT),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,A. Verma,Resolved - false positive
ALM-RMHP-003-0027,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,05-04-2025 01:06,motor_current_A,56.85,45.53,24.9,Information,Rate-of-change detection,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,G. Chatterjee,Closed - informational only
ALM-RMHP-003-0028,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,06-04-2025 22:58,motor_current_A,52.15,46.34,12.5,Warning,Rate-of-change detection,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,S. Reddy,Resolved - false positive
ALM-RMHP-003-0029,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,24-04-2025 21:31,motor_current_A,117.02,108.96,7.4,Information,ML anomaly score (Isolation Forest),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,J. Mehta,Closed - informational only
ALM-RMHP-003-0030,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,21-06-2025 19:52,belt_speed_m_s,191.69,163.47,17.3,Information,ML anomaly score (Autoencoder reconstruction error),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,S. Reddy,Closed - informational only
ALM-RMHP-003-0031,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,23-06-2025 00:50,vibration_mm_s,57.84,53.6,7.9,Warning,Pattern/frequency analysis (FFT),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,V. Rao,Resolved - false positive
ALM-RMHP-003-0032,RMHP-003,Conveyor Belt System,Raw Material Handling Plant,09-07-2025 19:16,vibration_mm_s,39.61,34.8,13.8,Warning,Rate-of-change detection,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,B. Kulkarni,Resolved - false positive
